uniqueid,target
test_id0,12.620290158315207
test_id1,15.882703338667676
test_id2,11.77201087143024
test_id3,3.267602373523379
test_id4,14.459946822147426
test_id5,13.0579909289382
test_id6,1.6402205450433918
test_id7,15.066381872137896
test_id8,14.311584350981752
test_id9,15.057508781864351
test_id10,13.239145316659677
test_id11,6.61386039461875
test_id12,0.0
test_id13,14.895544572612954
test_id14,16.152875834655198
test_id15,13.19138605736435
test_id16,6.392732300965841
test_id17,14.624411834512845
test_id18,10.308800161702807
test_id19,15.097103697426714
test_id20,14.106356697005712
test_id21,14.772147131062741
test_id22,16.081437246880803
test_id23,15.480182136542766
test_id24,0.0
test_id25,15.825961875597429
test_id26,17.041794469274617
test_id27,14.705046405764591
test_id28,10.825238461711795
test_id29,8.525175004799939
test_id30,8.583484402441645
test_id31,13.095165060356653
test_id32,16.769263418710057
test_id33,15.009727901597937
test_id34,14.403658371686555
test_id35,15.405874059237158
test_id36,16.15583780829092
test_id37,13.599330062335108
test_id38,13.977928677945389
test_id39,15.99987941261293
test_id40,15.936409499432571
test_id41,16.244266295190574
test_id42,9.362795881591634
test_id43,15.290482505170758
test_id44,16.26223297689812
test_id45,1.7180314769203835
test_id46,15.952224938126983
test_id47,12.816462400471517
test_id48,15.096660321262027
test_id49,14.915050495597262
test_id50,13.574280680665812
test_id51,14.609577367879876
test_id52,14.110169538086632
test_id53,4.679936704237088
test_id54,8.97231431871956
test_id55,10.940091928001811
test_id56,6.8802386768581325
test_id57,14.759467037645711
test_id58,9.39599307468025
test_id59,11.015700739533395
test_id60,13.564136506493536
test_id61,14.466965768332315
test_id62,9.520947468155075
test_id63,18.19855545174972
test_id64,11.544151519115939
test_id65,1.5833981206945331
test_id66,15.2155765494695
test_id67,16.186613127115805
test_id68,11.567932298448614
test_id69,12.91546914827524
test_id70,3.4302952297139297
test_id71,11.568954073114973
test_id72,11.223967315395157
test_id73,4.137044178403384
test_id74,8.11019928481522
test_id75,16.371751856731567
test_id76,12.825196717726309
test_id77,1.7900790174097747
test_id78,11.054896852860574
test_id79,13.200342510901043
